mesh_id,lon,lat,n_cases,risk_score
14074_03828,140.7469703448276,38.288912068965516,29,0.5832427984520622
14074_03829,140.74526112781953,38.294163383458645,532,0.6101219350468503
14074_03832,140.743418,38.321652,5,0.5400691682517724
14075_03818,140.75746,38.18899,1,0.7
14075_03819,140.75584,38.19186,9,0.8001383365035448
14075_03820,140.75175,38.20259,3,0.6333679174592195
14075_03821,140.75475434210526,38.21394197368421,76,0.5407705889312594
14075_03824,140.75682,38.24699,1,
14075_03825,140.75789602787455,38.25477804878049,287,0.5638305474233316
14075_03826,140.75831236842106,38.26860868421053,76,
14075_03827,140.75561108895704,38.27367392638037,652,0.6054289121170673
14075_03828,140.7539178443114,38.28788011976048,167,0.5531698836461607
14075_03829,140.75642973856208,38.29226111111112,306,0.6144244059950335
14075_03830,140.75546,38.30504,1,0.6
14075_03831,140.75928846153846,38.312162307692304,26,0.7004323015735777
14075_03833,140.75995,38.33437,121,0.5615791797845778
14076_03818,140.76854,38.18532749999999,28,0.6218954571280353
14076_03819,140.76911963333333,38.194889700000004,300,0.7025036601533226
14076_03820,140.76321,38.20156,1,0.6
14076_03821,140.76291249027238,38.211846653696504,257,0.6464501144169376
14076_03824,140.76265857142857,38.249291428571425,7,0.5858180380919443
14076_03825,140.76442106132075,38.254698113207546,848,0.5966039244826234
14076_03826,140.76434477876106,38.2642734159292,565,0.5761244049158418
14076_03827,140.76487593637455,38.273562923169266,1666,0.5661862427834674
14076_03828,140.76493399999998,38.28753183333333,120,0.575391088823563
14076_03829,140.76180656862746,38.29396556862745,510,0.6995859737635319
14076_03830,140.76655542510122,38.308301376518216,494,0.6664197238730573
14076_03831,140.7650907918552,38.3123893438914,442,0.6119244422918471
14077_03819,140.775588,38.195161,30,0.6905014698253501
14077_03821,140.77530473684212,38.21234894736842,38,0.6927450694867897
14077_03822,140.77698,38.22286,6,0.6167531269813822
14077_03823,140.77902090909092,38.23571227272727,22,0.6685449515036234
14077_03825,140.77153005813955,38.2521975,172,0.6360964776469923
14077_03826,140.77777293333332,38.2687856,150,
14077_03827,140.77570691588787,38.274356401869156,1284,
14077_03828,140.77586647849463,38.28390314516129,372,0.6144798714809252
14077_03829,140.7771688888889,38.294895396825396,63,0.6598022666326314
14077_03830,140.7741915902965,38.30655611859839,1113,0.5610975969936342
14077_03831,140.77082,38.311636176470586,34,0.5799824027830047
14077_03832,140.77821451923077,38.32883831730769,208,0.6290602262599925
14077_03833,140.7774702617801,38.3311352356021,191,0.5472645495508134
14078_03817,140.78754,38.17784,9,0.8001383365035448
14078_03818,140.7830912,38.1862516,25,0.5444150095106346
14078_03819,140.78498676470588,38.19557705882353,34,0.6888059321947696
14078_03821,140.78556437158468,38.218877540983605,183,0.6075187401550992
14078_03822,140.78521695652174,38.22255417391304,115,0.5845799908276881
14078_03823,140.7833947323662,38.23532820410205,1999,0.6491068203996486
14078_03824,140.78505778443113,38.24048550898203,167,0.6399962309515499
14078_03826,140.78518406306307,38.267862180180174,1110,
14078_03827,140.78640524599882,38.27372429756965,1687,0.5357934222714571
14078_03828,140.78593882978723,38.28487414893617,94,
14078_03829,140.78093047619046,38.2953580952381,21,0.5860601269731479
14078_03830,140.78459,38.30014,5,0.6600691682517725
14078_03832,140.78548364039955,38.32775068812431,901,0.5350967079251565
14078_03833,140.78648746170677,38.33130037199125,457,0.5553687693235012
14078_03839,140.78561,38.39184,162,0.6182161208992725
14079_03821,140.79765355329948,38.21515456852792,197,0.5896836605805039
14079_03822,140.79254785714286,38.22164858600583,686,0.623069552911947
14079_03823,140.79297,38.23249,1,0.6
14079_03824,140.79315193548388,38.243567741935486,31,0.5843897296302287
14079_03825,140.79411,38.25225,5,
14079_03826,140.7943827240773,38.266454771529,1138,
14079_03827,140.79248851657943,38.275384694589874,573,
14079_03828,140.79135153005464,38.28267786885246,183,
